column_index,column_name,nonempty_cells,numeric_cells,text_cells
1,CountyID,10440,10440,0
2,Year,10440,10440,0
3,month,10440,10440,0
4,County_Name,10440,0,10440
5,gasprice,10440,10440,0
6,alcoholTotal,10440,10440,0
7,MetroStatus,10440,10440,0
8,metroStatus_adj,10440,10440,0
9,totcrash,10440,10440,0
10,monthlyVMT,10440,10440,0
11,unemprate,10440,10440,0
12,nonAutoRatio,10440,10440,0
13,work_at_home_Ratio,10440,10440,0
14,pubTranRatio,10440,10440,0
15,WalkingRatio,10440,10440,0
16,bikingRatio,10440,10440,0
17,MotorcycleRatio,10440,10440,0
18,Inflationrate,10440,10440,0
19,CumulativeInflateRate,10440,10440,0
20,gasprice_adj,10440,10440,0
